"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","eissn","unique-id"
"ISI:000337758800013","Article","Andrej Kokkonen and Anders Sundell","{Delivering Stability-Primogeniture and Autocratic Survival in European
   Monarchies 1000-1800}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2014}","{108}","{2}","{438-453}","{MAY}","{Building a strong autocratic state requires stability in ruler-elite
   relations. From this perspective the absence of a successor is
   problematic, as the elite have few incentives to remain loyal if the
   autocrat cannot reward them for their loyalty after his death. However,
   an appointed successor has both the capacity and the motive to challenge
   the autocrat. We argue that a succession based on primogeniture solves
   the dilemma, by providing the regime with a successor who can afford to
   wait to inherit the throne peacefully. We test our hypothesis on a
   dataset covering 961 monarchs ruling 42 European states between 1000 and
   1800, and show that fewer monarchs were deposed in states practicing
   primogeniture than in states practicing alternative succession orders. A
   similar pattern persists in the world's remaining absolute monarchies.
   Primogeniture also contributed to building strong states: In 1801 all
   European monarchies had adopted primogeniture or succumbed to foreign
   enemies.}","{10.1017/S000305541400015X}","{0003-0554}","{1537-5943}","{ISI:000337758800013}"
"ISI:000337758800014","Article","Tariq Thachil","{Elite Parties and Poor Voters: Theory and Evidence from India}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2014}","{108}","{2}","{454-477}","{MAY}","{Why do poor people often vote against their material interests? This
   article extends the study of this global paradox to the non-Western
   world by considering how it manifests within India, the world's biggest
   democracy. Arguments derived from studies of advanced democracies (such
   as values voting) or of poor polities (such as patronage and ethnic
   appeals) fail to explain this important phenomenon. Instead, I outline a
   novel strategy predicated on an electoral division of labor enabling
   elite parties to recruit the poor while retaining the rich. Recruitment
   is outsourced to nonparty affiliates that provide basic services to
   appeal to poor communities. Such outsourcing permits the party to
   maintain programmatic linkages to its elite core. Empirically, I test
   this argument with qualitative and quantitative evidence, including a
   survey of more than 9,000 voters. Theoretically, I argue that this
   approach is best suited to elite parties with thick organizations,
   typically those linked to religious social movements.}","{10.1017/S0003055414000069}","{0003-0554}","{1537-5943}","{ISI:000337758800014}"
"ISI:000337758800015","Article","Faisal Z. Ahmed","{The Perils of Unearned Foreign Income: Aid, Remittances, and Government
   Survival (vol 106, pg 146, 2012)}","{AMERICAN POLITICAL SCIENCE REVIEW}","{2014}","{108}","{2}","{478}","{MAY}",NA,"{10.1017/S0003055414000197}","{0003-0554}","{1537-5943}","{ISI:000337758800015}"
"ISI:000333199400019","Article","Lucas Leemann and Isabela Mares","{The Adoption of Proportional Representation}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{461-478}","{APR}","{The debate between economic and political explanations of the adoption
   of proportional representation (PR) has yielded mixed results. We
   reexamine this debate and argue that one has to take the different
   levels on which the causal mechanisms are located into account. This
   leads to a novel reformulation of Rokkan's hypotheses: we claim that PR
   is introduced when legislators face strong district-level competition
   and when their parties expect to gain seats from a change of the
   electoral law. In the empirical part, we model legislators' support for
   the PR adoption and evaluate the relative importance of district-level
   competition and vulnerability resulting from electoral inroads made by
   Social Democratic candidates; partisan calculations arising from
   disproportionalities in the allocation of votes to seats; and economic
   conditions at the district-level, specifically variation in skill
   profiles. Support for the adoption of PR is explained by a combination
   of district vulnerabilities and seat-vote disproportionality.}","{10.1017/S0022381613001394}","{0022-3816}","{1468-2508}","{ISI:000333199400019}"
"ISI:000333199400017","Article","Gyung-Ho Jeong and William R. Lowry and Gary J. Miller and Itai Sened","{How Preferences Change Institutions: The 1978 Energy Act}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{430-445}","{APR}","{In this article, we advance a generic theory of institutional change and
   illustrate it through a study of the Gas Deregulation Act of 1977-78.
   The passage of the Act provides an informative case study about
   institutional change as an innovative postcloture filibuster was
   implemented, and then defeated, in the course of the debate. Contrary to
   Shepsle's argument that institutions determine outcomes, we argue that
   the legislative majority shaped the institution to get the policy
   outcome it wanted. We find evidence that negotiations among competing
   coalitions constrained outcomes to be inside the uncovered set. When the
   filibuster-related rules threatened to lead to an outcome outside of the
   uncovered set, the rules were changed to avoid this outcome. Our
   analysis calls into question both the view of majority rule as
   generically leading to chaos and the view that institutions are the
   essential tool to overcome such instability.}","{10.1017/S0022381613001370}","{0022-3816}","{1468-2508}","{ISI:000333199400017}"
"ISI:000333199400020","Article","Daniel Berliner","{The Political Origins of Transparency}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{479-491}","{APR}","{Transparency has been hailed as the key to better governance, yet
   political actors have many reasons to resist transparency. This article
   studies one prominent transparency policy, Freedom of Information (FOI)
   laws, which have been passed by over 80 countries. By institutionalizing
   transparency, FOI laws increase the costs for political actors to use
   public office-and public information-for private gain. Why have so many
   states passed FOI laws despite this? I argue that, in competitive
   political environments, FOI laws can create benefits for political
   actors as well as costs. Uncertainty over future control creates
   incentives for incumbents to pass FOI laws in order to ensure their own
   future access to government information and to credibly commit to future
   transparency. Event-history-model results show that FOI law passage is
   more likely when opposition parties pose more credible challenges to
   incumbents and when recent turnover in executive office has been
   frequent.}","{10.1017/S0022381613001412}","{0022-3816}","{1468-2508}","{ISI:000333199400020}"
"ISI:000333199400014","Article","Timothy J. Ryan","{Reconsidering Moral Issues in Politics}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{380-397}","{APR}","{Political scientists commonly distinguish issues that are moral from
   ones that are not. The distinction is taken to be important for
   understanding persuadability, the stability of opinions, and issue
   salience, among other phenomena, but there are inconsistencies in how
   scholars have conceived it. Drawing insights from psychology, I suggest
   that it is fruitful to think about moral conviction as a dimension of
   attitude strength. Using three data sources, I examine how much this
   perspective contributes to our understanding of politics. I find
   evidence that moral conviction shapes political opinions and action in
   surprising ways: it varies across issues, but also within them,
   including issues usually considered not to be moral. It contributes to
   participatory zeal, but moral conviction may also be related to
   political extremism and hostility. The findings point to much promise in
   a microlevel understanding of the role of morality in politics.}","{10.1017/S0022381613001357}","{0022-3816}","{1468-2508}","{ISI:000333199400014}"
"ISI:000333199400015","Article","Richard L. Fox and Jennifer L. Lawless","{Reconciling Family Roles with Political Ambition: The New Normal for
   Women in Twenty-First Century U.S. Politics}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{398-414}","{APR}","{Based on data from the 2011 Citizen Political Ambition Study-a national
   survey of nearly 4,000 ``potential candidates{''} for all levels of
   office-we provide the first thorough analysis of the manner in which
   traditional family arrangements affect the initial decision to run for
   office. Our findings reveal that traditional family dynamics do not
   account for the gender gap in political ambition. Neither marital and
   parental status, nor the division of labor pertaining to household tasks
   and child care, predicts potential candidates' political ambition. This
   is not to downplay the fact that the gender gap in political ambition
   remains substantial and static or that traditional family roles affect
   whether women make it into the candidate eligibility pool in the first
   place. But it is to suggest that family arrangements are not a primary
   factor explaining why female potential candidates exhibit lower levels
   of political ambition than do men. Because women remain less likely than
   men to exhibit political ambition even in the face of stringent
   controls, the lack of explanatory power conferred by family arrangements
   highlights that other barriers to women's emergence as candidates
   clearly merit continued investigation.}","{10.1017/S0022381613001473}","{0022-3816}","{1468-2508}","{ISI:000333199400015}"
"ISI:000333199400018","Article","Neil Narang","{Humanitarian Assistance and the Duration of Peace after Civil War}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{446-460}","{APR}","{The principles of humanitarian assistance dictate that aid be
   distributed in accordance with need while remaining neutral with respect
   to the political stakes. However, these principles have unique
   implications in the postconflict context, where need is often correlated
   with opponents' performance in the previous contest. In these cases,
   humanitarian assistance is likely to be biased towards the conflict
   loser. Using a crisis-bargaining framework, this article describes a
   simple logic for how humanitarian aid can inadvertently undermine peace
   by creating a revisionist party with the incentive to renegotiate the
   postwar settlement. The empirical expectations of the theory are tested
   using a panel dataset of cross-national humanitarian aid expenditures in
   civil conflicts since the end of the Cold War. As the theory predicts,
   postconflict states treated with higher levels of humanitarian
   assistance exhibit shorter spells of peace; however, this effect only
   occurs after conflicts that ended with a decisive victory.}","{10.1017/S0022381613001382}","{0022-3816}","{1468-2508}","{ISI:000333199400018}"
"ISI:000333199400023","Article","Douglas L. Kriner and Eric Schickler","{Investigating the President: Committee Probes and Presidential Approval,
   1953-2006}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{521-534}","{APR}","{Members of Congress have long sought to combat assertions of
   presidential power and alleged executive misconduct through committee
   investigations. But are such investigations mere political theater, or
   do they have systematic effects on the course of politics? We argue that
   congressional investigations of the executive branch damage the
   president's support among the public, making investigations a useful
   tool in interbranch battles. Marshaling an original data set of more
   than 3,500 investigative hearings and over 50 years of public opinion
   data, we show that increased investigative activity in the hearing room
   significantly decreases the president's job approval rating. A survey
   experiment both confirms our assertion that investigations decrease
   public support for the White House and shows that committee-led charges
   of misconduct have a greater influence on public opinion than identical
   charges not attributed to a congressional actor.}","{10.1017/S0022381613001448}","{0022-3816}","{1468-2508}","{ISI:000333199400023}"
"ISI:000333199400024","Article","Lawrence Ezrow and Jonathan Homola and Margit Tavits","{When Extremism Pays: Policy Positions, Voter Certainty, and Party
   Support in Postcommunist Europe}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{535-547}","{APR}","{We argue that extreme positioning benefits parties in new democracies,
   because-given the lack of other reliable cues such as party
   histories-the distinctiveness of their left-right policy positions
   increases voter certainty about parties' identities and intentions in
   office. Cross-sectional analyses provide evidence that, in the new
   democracies of postcommunist Europe, parties that are farther away from
   the mean voter position gain more popular support than those moderately
   positioned along a policy continuum. In established democracies, by
   contrast, policy moderation increases popular support. We also find
   empirical support for the proposed causal mechanism that links policy
   positions to popular support via voter certainty. These findings have
   implications for party strategies, spatial theories, and our
   understanding of political representation in new democracies.}","{10.1017/S0022381613001461}","{0022-3816}","{1468-2508}","{ISI:000333199400024}"
"ISI:000333199400026","Article","Jane Gingrich","{Visibility, Values, and Voters: The Informational Role of the Welfare
   State}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{565-580}","{APR}","{How do citizens' preferences over social policy shape their vote choice?
   In this article, I argue that the relationship between individuals'
   values and voting behavior is powerfully conditioned by the
   informational structure of the welfare state. More visible welfare
   states provide citizens with greater information on social policy,
   allowing them to more easily connect these preferences to the political
   process. Where visibility is low, voters place less importance on
   social-policy issues in voting. I test this claim against data from 55
   elections from the Comparative Study of Electoral Systems and the 1996
   and 2006 International Social Survey Program. I find compelling evidence
   that where welfare-state visibility is high, voters attach more weight
   to spatial distance from parties in voting, are more likely to see
   welfare related issues as important, are better able to place parties on
   a left-right spectrum, and have more consistent policy preferences.}","{10.1017/S0022381613001540}","{0022-3816}","{1468-2508}","{ISI:000333199400026}"
"ISI:000333199400010","Article","Yuen Yuen Ang and Nan Jia","{Perverse Complementarity: Political Connections and the Use of Courts
   among Private Firms in China}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}","{318-332}","{APR}","{Using survey data of over 3,900 private firms in China, we examine
   whether-and how-political connections promote or undermine the use of
   formal legal institutions. We find that politically connected firms are
   more inclined than nonconnected firms to use courts over informal
   avenues of dispute resolution. Furthermore, by comparing the effects of
   political connections on dispute-resolution patterns across regional
   institutional environments, we find that `'know-who'' (political
   influence over adjudication) dominates `'know-how'' (knowledge of
   navigating courts) in linking political connections to the use of
   courts. Contrary to canonical theories that predict the declining
   significance of connections following the expansion of courts, our study
   suggests that informal networks and formal laws are more likely to share
   a relationship of perverse complementarity in transitional and
   authoritarian contexts. Political connections are positively linked to
   the use of legal procedures, and the primary mechanism behind the link
   is ``know-who{''} over ``know-how.{''}}","{10.1017/S0022381613001400}","{0022-3816}","{1468-2508}","{ISI:000333199400010}"
"ISI:000333199400001","Article","Johanna Granville","{A Long Goodbye: The Soviet Withdrawal from Afghanistan}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}",NA,"{APR}",NA,NA,"{0022-3816}","{1468-2508}","{ISI:000333199400001}"
"ISI:000333199400006","Article","{Jr.} and Richard L. Pacelle","{The Solicitor General and the United States Supreme Court: Executive
   Branch Influence and Judicial Decisions}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}",NA,"{APR}","{This article develops and tests a model of conditional status quo bias
   and American inequality. We find that institutional features that bias
   policy outcomes toward the status quo have played a central role in the
   path of inequality. Using time-series analysis of top income shares
   during the post-Depression period, we identify the Senate as a key actor
   in the politics of income inequality. Our findings suggest that the
   supermajoritarian nature of the Senate and policy stagnation, when
   coupled with economic and social factors that produce rising inequality,
   create a situation in which inequality becomes difficult to reverse.}","{10.1017/S0022381614000024}","{0022-3816}","{1468-2508}","{ISI:000333199400006}"
"ISI:000333199400007","Article","Hillel David Soifer","{State-Building and Tax Regimes in Central America}","{JOURNAL OF POLITICS}","{2014}","{76}","{2}",NA,"{APR}","{Despite the wide range of studies focused on the causes of terrorism,
   most use the state as the unit of analysis. Doing so, however, overlooks
   important variation that occurs within the state. Our research seeks to
   determine the causes of domestic terrorism through a more refined unit
   of analysis. We do this by using the PRIO-GRID cell structure spatially
   merged with a geocoded version of the GTD dataset. We then perform a
   Getis-Ord Gi{*} hot spot analysis to uncover those local areas most
   prone to domestic terrorism. Our results indicate the following
   attributes increase the likelihood of terrorism: mountainous terrain,
   close proximity to a state capital, large population, high population
   density, and poor economic conditions. When testing between regime
   types, we find that factors such as population, economic conditions, and
   the number of ethnic groups are significant only in democracies, while
   distance to capital is significant only in autocracies.}","{10.1017/S0022381614000036}","{0022-3816}","{1468-2508}","{ISI:000333199400007}"
"ISI:000333715100001","Article","Gwyneth H. McClendon","{Social Esteem and Participation in Contentious Politics: A Field
   Experiment at an LGBT Pride Rally}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{279-290}","{APR}","{What motivates individuals to participate in contentious, political
   forms of collective action? In this article, I consider the possibility
   that the promise of social esteem from an ingroup can act as a powerful
   selective incentive for individuals to participate in contentious
   politics. I conducted a field experiment-the first to my knowledge to
   take place in the context of a political march, rally, or
   social-identity event-to isolate this esteem mechanism from others.
   Using measures of intent to attend, actual attendance, and reported
   attendance at a gay and lesbian pride event in New Jersey, I find
   evidence that the promise of social esteem boosts all three measures of
   participation. The article offers new theoretical and practical
   implications for the study of participation in nonvoting forms of
   collective action.}","{10.1111/ajps.12076}","{0092-5853}","{1540-5907}","{ISI:000333715100001}"
"ISI:000333715100002","Article","Tali Mendelberg and Christopher F. Karpowitz and Nicholas Goedert","{Does Descriptive Representation Facilitate Women's Distinctive Voice?
   How Gender Composition and Decision Rules Affect Deliberation}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{291-306}","{APR}","{Does low descriptive representation inhibit substantive representation
   for women in deliberating groups? We address this question and go beyond
   to ask if the effects of descriptive representation also depend on
   decision rule. We conducted an experiment on distributive decisions,
   randomizing the group's gender composition and decision rule, including
   many groups, and linking individuals' predeliberation attitudes to their
   speech and to postdeliberation decisions. Women's descriptive
   representation does produce substantive representation, but primarily
   under majority rule-when women are many, they are more likely to voice
   women's distinctive concerns about children, family, the poor, and the
   needy, and less likely to voice men's distinctive concerns. Men's
   references shift similarly with women's numerical status. These effects
   are associated with group decisions that are more generous to the poor.
   Unanimous rule protects women in the numerical minority, mitigating some
   of the negative effects of low descriptive representation. Descriptive
   representation matters, but in interaction with the decision rule.}","{10.1111/ajps.12077}","{0092-5853}","{1540-5907}","{ISI:000333715100002}"
"ISI:000333715100003","Article","David E. Broockman","{Distorted Communication, Unequal Representation: Constituents
   Communicate Less to Representatives Not of Their Race}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{307-321}","{APR}","{Communications from constituents strongly shape the representation
   politicians provide. However, if politicians hear less from some
   constituents than others, this unequal communication may lead to unequal
   representation. In this article, I present a field experiment
   demonstrating that constituents are less likely to communicate to
   representatives not of their race. The experiment exploited electoral
   rules in Maryland, where several multimember districts have both black
   and white representatives. I provided 8,829 residents of such districts
   an opportunity to communicate to one of their actual representatives,
   whose race I randomized. Both blacks and whites were markedly less
   likely to communicate to their representatives not of their race. These
   results imply that politicians receive racially distorted communication,
   hearing disproportionately infrequently from constituents unlike them.
   The fact that most racial minorities have white representatives may thus
   help explain both minorities' less frequent communication to their
   representatives and the diminished substantive representation minorities
   typically receive.}","{10.1111/ajps.12068}","{0092-5853}","{1540-5907}","{ISI:000333715100003}"
"ISI:000333715100004","Article","Carly Urban and Sarah Niebler","{Dollars on the Sidewalk: Should U.S. Presidential Candidates Advertise
   in Uncontested States?}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{322-336}","{APR}","{Presidential candidates in the United States do not intentionally
   advertise in states without rigorous competition for electoral votes.
   However, in some areas of noncompetitive states, media markets overlap
   with battleground states, exposing these regions to political ads. These
   spillover advertisements allow us to examine the relationship between
   advertisements and individual campaign contributions, with data from the
   Wisconsin Advertising Project and the Federal Elections Commission.
   Using propensity-score matching within uncontested states, we find that
   2008 aggregate giving in zip codes exposed to political ads was
   approximately \$6,100 (28.1\% of mean contributions) more than in
   similar zip codes without advertisements.}","{10.1111/ajps.12073}","{0092-5853}","{1540-5907}","{ISI:000333715100004}"
"ISI:000333715100005","Article","Eric McGhee and Seth Masket and Boris Shor and Steven Rogers and Nolan McCarty","{A Primary Cause of Partisanship? Nomination Systems and Legislator
   Ideology}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{337-351}","{APR}","{Many theoretical and empirical accounts of representation argue that
   primary elections are a polarizing influence. Likewise, many reformers
   advocate opening party nominations to nonmembers as a way of increasing
   the number of moderate elected officials. Data and measurement
   constraints, however, have limited the range of empirical tests of this
   argument. We marry a unique new data set of state legislator ideal
   points to a detailed accounting of primary systems in the United States
   to gauge the effect of primary systems on polarization. We find that the
   openness of a primary election has little, if any, effect on the
   extremism of the politicians it produces.}","{10.1111/ajps.12070}","{0092-5853}","{1540-5907}","{ISI:000333715100005}"
"ISI:000333715100006","Article","Matthew E. K. Hall","{The Semiconstrained Court: Public Opinion, the Separation of Powers, and
   the U.S. Supreme Court's Fear of Nonimplementation}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{352-366}","{APR}","{Numerous studies have found that elite and popular preferences influence
   decision making on the U.S. Supreme Court; yet, uncertainty remains
   about when, how, and why the Court is constrained by external pressure.
   I argue the justices are constrained, at least in part, because they
   fear nonimplementation of their decisions. I test this theory by
   utilizing a recent study of judicial power, which finds the Court enjoys
   greater implementation power in ``vertical{''} cases (those involving
   criminal and civil liability) than in ``lateral{''} cases (all others;
   e.g., those involving schools or government agencies). I find that Court
   constraint is strongest in important lateral cases-those cases in which
   implementation depends on support from nonjudicial actors. My findings
   suggest that Supreme Court constraint is driven by the justices' fear of
   nonimplementation and is, therefore, dependent on institutional context.}","{10.1111/ajps.12069}","{0092-5853}","{1540-5907}","{ISI:000333715100006}"
"ISI:000333715100007","Article","Adam Bonica","{Mapping the Ideological Marketplace}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{367-386}","{APR}","{I develop a method to measure the ideology of candidates and
   contributors using campaign finance data. Combined with a data set of
   over 100 million contribution records from state and federal elections,
   the method estimates ideal points for an expansive range of political
   actors. The common pool of contributors who give across institutions and
   levels of politics makes it possible to recover a unified set of
   ideological measures for members of Congress, the president and
   executive branch, state legislators, governors, and other state
   officials, as well as the interest groups and individuals who make
   political donations. Since candidates fundraise regardless of incumbency
   status, the method estimates ideal points for both incumbents and
   nonincumbents. After establishing measure validity and addressing issues
   concerning strategic behavior, I present results for a variety of
   political actors and discuss several promising avenues of research made
   possible by the new measures.}","{10.1111/ajps.12062}","{0092-5853}","{1540-5907}","{ISI:000333715100007}"
"ISI:000333715100008","Article","Joshua D. Clinton and David E. Lewis and Jennifer L. Selin","{Influencing the Bureaucracy: The Irony of Congressional Oversight}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{387-401}","{APR}","{Does the president or Congress have more influence over policymaking by
   the bureaucracy? Despite a wealth of theoretical guidance, progress on
   this important question has proven elusive due to competing theoretical
   predictions and severe difficulties in measuring agency influence and
   oversight. We use a survey of federal executives to assess political
   influence, congressional oversight, and the policy preferences of
   agencies, committees, and the president on a comparable scale. Analyzing
   variation in political influence across and within agencies reveals that
   Congress is less influential relative to the White House when more
   committees are involved. While increasing the number of involved
   committees may maximize the electoral benefits for members, it may also
   undercut the ability of Congress as an institution to collectively
   respond to the actions of the presidency or the bureaucracy.}","{10.1111/ajps.12066}","{0092-5853}","{1540-5907}","{ISI:000333715100008}"
"ISI:000333715100009","Article","Peter Lorentzen","{China's Strategic Censorship}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{402-414}","{APR}","{While it is often assumed that authoritarian regimes inevitably fear and
   restrict media independence, permitting watchdog journalism can actually
   help such regimes maintain power by improving governance. Yet such a
   strategy risks facilitating a coordinated uprising if discontent is
   revealed to be widespread. A formal model shows that under some
   conditions, a regime optimally permits investigative reporting on
   lower-level officialdom, adjusting how much reporting is allowed
   depending on the level of underlying social tensions. This strategy
   yields many of the benefits of free media without risking overthrow. An
   extension shows why an increase in uncontrollable information, such as
   from the Internet, may result in a reduction in media freedom. The model
   sheds light on important aspects of China's media policy and its
   evolution and on authoritarian media control more broadly.}","{10.1111/ajps.12065}","{0092-5853}","{1540-5907}","{ISI:000333715100009}"
"ISI:000333715100010","Article","Jordan Gans-Morse and Sebastian Mazzuca and Simeon Nichter","{Varieties of Clientelism: Machine Politics during Elections}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{415-432}","{APR}","{Although many studies of clientelism focus exclusively on vote buying,
   political machines often employ diverse portfolios of strategies. We
   provide a theoretical framework and formal model to explain how and why
   machines mix four clientelist strategies during elections: vote buying,
   turnout buying, abstention buying, and double persuasion. Machines
   tailor their portfolios to the political preferences and voting costs of
   the electorate. They also adapt their mix to at least five contextual
   factors: compulsory voting, ballot secrecy, political salience, machine
   support, and political polarization. Our analysis yields numerous
   insights, such as why the introduction of compulsory voting may increase
   vote buying, and why enhanced ballot secrecy may increase turnout buying
   and abstention buying. Evidence from various countries is consistent
   with our predictions and suggests the need for empirical studies to pay
   closer attention to the ways in which machines combine clientelist
   strategies.}","{10.1111/ajps.12058}","{0092-5853}","{1540-5907}","{ISI:000333715100010}"
"ISI:000333715100011","Article","Sophia J. Wallace and Chris Zepeda-Millan and Michael Jones-Correa","{Spatial and Temporal Proximity: Examining the Effects of Protests on
   Political Attitudes}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{433-448}","{APR}","{This article utilizes data from the Latino National Survey (2006) to
   analyze temporal and spatial variation in the effects of the immigrant
   rights marches in 2006 on Latino attitudes towards trust in government
   and self-efficacy. Using a unique protest dataset, we examine the
   effects of proximity and scale by mapping respondents' specific
   geographic location against the location of the marches as well as size
   of the protests using Geographic Information Systems (GIS). We find that
   local proximity to small marches had a positive impact on feelings of
   efficacy, whereas large-scale protests led to lower feelings of
   efficacy. The results shed light on the role localized political events
   can play in shaping feelings towards government, the importance of
   conceptions of space and time to the study of social movements, and the
   positive outcomes that can result from contentious politics.}","{10.1111/ajps.12060}","{0092-5853}","{1540-5907}","{ISI:000333715100011}"
"ISI:000333715100012","Article","Elias Dinas","{Does Choice Bring Loyalty? Electoral Participation and the Development
   of Party Identification}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{449-465}","{APR}","{Party identification is known to influence almost all aspects of
   political life. How this attachment develops across the adult life
   cycle, however, remains unknown. I argue that people reinforce their
   partisan predispositions by voting for their preferred party. Voting
   entails a choice over a set of alternatives. This choice is likely to
   induce rationalization. In so doing, it provides signals of group
   identity, which in turn strengthens people's partisan ties. Testing this
   hypothesis is made difficult because it implies a reciprocal
   relationship between partisanship and vote choice. I address this
   problem by using vote eligibility as an instrument of vote in a sample
   of almost equally aged respondents. The results indicate that elections
   fortify prior partisan orientations. Moreover, they do so not by
   increasing political information. Rather, it is the act of voting for a
   party that, itself, bolsters partisan attachment. This act leaves a
   long-lasting imprint on people's partisan outlooks.}","{10.1111/ajps.12044}","{0092-5853}","{1540-5907}","{ISI:000333715100012}"
"ISI:000333715100013","Article","Paulina Ochoa Espejo","{People, Territory, and Legitimacy in Democratic States}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{466-478}","{APR}","{Who are the people who should govern themselves in a democracy? This is
   the famous boundary problem to which this article offers a new approach.
   Most democrats, even nationalists and cosmopolitans, delimit the demos
   by relying on territorial jurisdictions. However, territory is not
   explicit in their arguments. This article urges democrats to recognize
   territory's normative importance rather than overlook the role it
   already plays in their theories. Acknowledging territory is a risky, yet
   promising, strategy. Risky, because it may lead to a vicious circle: one
   needs well-defined territorial borders to delimit the people, yet one
   needs a well-defined people to establish legitimate territorial borders.
   Promising, because it forces democrats to scrutinize implicit
   assumptions and find new resources for dealing with the vicious circle.
   The article describes four possible tacks by which theorists could
   navigate the waters of people, territory, and legitimacy in democracies:
   asserting, circumventing, solving, and dissolving the circle.}","{10.1111/ajps.12064}","{0092-5853}","{1540-5907}","{ISI:000333715100013}"
"ISI:000333715100014","Article","Jon C. Rogowski","{Electoral Choice, Ideological Conflict, and Political Participation}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{479-494}","{APR}","{Generations of democratic theorists argue that democratic systems should
   present citizens with clear and distinct electoral choices. Responsible
   party theorists further argued that political participation increases
   with greater ideological conflict between competing electoral options.
   Empirical evidence on this question, however, remains deeply ambiguous.
   This article introduces new joint estimates of citizen preferences and
   the campaign platforms chosen by pairs of candidates in U.S. House and
   Senate races. The results show that increasing levels of ideological
   conflict reduce voter turnout, and are robust across a wide range of
   empirical specifications. Furthermore, the findings provide no support
   for existing accounts that emphasize how ideology or partisanship
   explains the relationship between ideological conflict and turnout.
   Instead, I find that increasing levels of candidate divergence reduce
   turnout primarily among citizens with lower levels of political
   sophistication. These findings provide the strongest evidence to date
   for how mass political behavior is conditioned by electoral choice.}","{10.1111/ajps.12059}","{0092-5853}","{1540-5907}","{ISI:000333715100014}"
"ISI:000333715100015","Article","Leonardo R. Arriola and Martha C. Johnson","{Ethnic Politics and Women's Empowerment in Africa: Ministerial
   Appointments to Executive Cabinets}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2014}","{58}","{2}","{495-510}","{APR}","{Under what conditions do women participate in executive power in
   multiethnic societies? Previous research has examined how political
   institutions, socioeconomic factors, and cultural norms affect the
   appointment of women as cabinet ministers. However, no study has
   assessed the extent to which the politicization of ethnicity-a cleavage
   that shapes political life in many countries-affects women's cabinet
   appointments. Focusing on sub-Saharan Africa, we argue that women are
   less likely to become cabinet ministers where incumbents use such
   appointments to build patronage-based alliances with politicians who act
   as advocates for ethnic constituencies. Using an original dataset on the
   composition of cabinets in 34 African countries from 1980 to 2005, we
   show that women's share of cabinet appointments is significantly lower
   in countries where leaders must accommodate a larger number of
   politicized ethnic groups, but it rises with higher levels of democracy
   and greater representation of women in parliament.}","{10.1111/ajps.12075}","{0092-5853}","{1540-5907}","{ISI:000333715100015}"
